round,idno,country,party_de,party_fr,party_hu,party_it,party_pl,age,urban,education(yy),activity,source_inc_h,income,satisfaction_inc,source_inc_p,age_group
9,1029,IT,0,0,0,77,0,70,4,13,66,4,77,2,4,66+
9,1063,IT,0,0,0,66,0,76,4,5,66,4,77,3,66,66+
9,1071,IT,0,0,0,7,0,39,1,13,66,1,6,3,1,25-65
9,1078,IT,0,0,0,1,0,59,3,13,66,1,77,2,9,25-65
9,1084,IT,0,0,0,66,0,28,3,8,66,1,4,3,9,25-65
9,1119,IT,0,0,0,7,0,82,4,5,66,4,1,3,66,66+
9,1121,IT,0,0,0,66,0,44,3,14,66,2,77,1,2,25-65
9,1124,IT,0,0,0,66,0,53,4,12,66,1,5,2,1,25-65
9,1133,IT,0,0,0,1,0,72,1,88,66,1,77,1,4,66+
9,1203,IT,0,0,0,7,0,55,4,13,66,1,77,3,1,25-65
9,1207,IT,0,0,0,7,0,41,3,13,66,1,7,1,1,25-65
9,1208,IT,0,0,0,77,0,64,3,12,66,1,77,3,66,25-65
9,1232,IT,0,0,0,77,0,84,4,5,66,4,3,3,4,66+
9,1240,IT,0,0,0,88,0,41,4,14,66,8,77,2,9,25-65
9,1292,IT,0,0,0,7,0,70,4,7,66,4,3,2,66,66+
9,1310,IT,0,0,0,77,0,46,1,16,66,1,77,2,77,25-65
9,1313,IT,0,0,0,9,0,64,3,5,66,4,3,4,4,25-65
9,1314,IT,0,0,0,66,0,74,2,8,66,4,4,3,4,66+
9,1326,IT,0,0,0,66,0,27,4,13,66,1,5,2,1,25-65
9,1342,IT,0,0,0,1,0,52,4,19,66,1,6,2,1,25-65
9,1380,IT,0,0,0,1,0,59,4,8,66,4,4,3,4,25-65
9,1413,IT,0,0,0,77,0,64,3,8,66,6,1,3,6,25-65
9,1418,IT,0,0,0,7,0,23,3,13,66,1,88,1,9,18-24
9,1421,IT,0,0,0,77,0,90,3,88,66,4,77,3,66,66+
9,1428,IT,0,0,0,66,0,25,4,88,66,1,4,3,1,25-65
9,1495,IT,0,0,0,77,0,58,4,9,66,1,3,3,1,25-65
9,1507,IT,0,0,0,66,0,21,5,15,66,1,7,2,9,18-24
9,1514,IT,0,0,0,66,0,16,3,9,66,1,88,8,9,18-24
9,1532,IT,0,0,0,1,0,74,4,12,66,4,77,2,66,66+
9,1533,IT,0,0,0,66,0,80,3,10,66,4,5,3,66,66+
