essround,idno,cntry,nwspol,prtvede1,prtvtdfr,prtvtfhu,prtvtcit,prtvtdpl,stfeco,stfedu,stfhlth,
9,10480,AT,45,,,,,,7,8,7,
9,10481,AT,30,,,,,,8,8,8,
9,10493,AT,30,,,,,,6,8,9,
9,10534,AT,120,,,,,,10,10,8,
9,10542,AT,45,,,,,,8,8,8,
9,10557,AT,60,,,,,,7,7,5,
9,10596,AT,60,,,,,,8,5,4,
9,10635,AT,90,,,,,,10,3,10,
9,10638,AT,0,,,,,,8,8,8,
9,10641,AT,10,,,,,,6,8,7,
9,10673,AT,60,,,,,,10,0,10,
9,10689,AT,15,,,,,,7,7,6,
9,10747,AT,15,,,,,,7,7,7,
9,10761,AT,15,,,,,,8,10,10,
9,10784,AT,25,,,,,,7,8,9,
9,10824,AT,0,,,,,,7,9,10,
9,10839,AT,30,,,,,,7,8,7,
9,10880,AT,15,,,,,,6,4,7,
9,10885,AT,15,,,,,,0,8,10,
9,10886,AT,30,,,,,,8,6,6,
9,10887,AT,0,,,,,,7,7,6,
9,10918,AT,30,,,,,,7,6,7,
9,10926,AT,0,,,,,,10,10,10,
9,10936,AT,30,,,,,,3,6,8,
9,10952,AT,30,,,,,,3,7,6,
9,10958,AT,15,,,,,,7,3,5,
9,10969,AT,120,,,,,,7,10,2,
9,10984,AT,0,,,,,,10,10,9,
9,11005,AT,20,,,,,,9,7,8,
9,11011,AT,15,,,,,,9,9,9,
9,11013,AT,30,,,,,,8,88,8,
9,11020,AT,35,,,,,,7,4,6,
9,11047,AT,60,,,,,,6,10,9,
9,11107,AT,60,,,,,,10,88,10,
9,11117,AT,30,,,,,,8,5,7,
9,11124,AT,30,,,,,,3,5,5,
9,11132,AT,10,,,,,,8,6,8,
9,11136,AT,10,,,,,,8,5,9,
9,11162,AT,60,,,,,,5,7,9,
9,11165,AT,45,,,,,,5,5,5,
9,11204,AT,30,,,,,,6,4,1,
9,11214,AT,10,,,,,,7,9,8,
9,11276,AT,10,,,,,,9,8,8,
9,11282,AT,30,,,,,,8,5,8,
9,11347,AT,0,,,,,,8,4,7,
9,11348,AT,0,,,,,,7,8,8,
9,11364,AT,15,,,,,,6,8,9,
9,11398,AT,5,,,,,,7,7,7,
9,11399,AT,30,,,,,,5,8,10,
9,11400,AT,20,,,,,,6,7,9,
9,11416,AT,10,,,,,,8,8,8,
9,11418,AT,60,,,,,,8,7,7,
9,11426,AT,30,,,,,,10,10,10,
9,11430,AT,60,,,,,,5,9,8,
9,11441,AT,20,,,,,,7,9,9,
9,11446,AT,20,,,,,,6,6,7,
9,11451,AT,10,,,,,,8,6,8,
9,11453,AT,240,,,,,,8,6,8,
9,11474,AT,15,,,,,,7,7,7,
9,11490,AT,60,,,,,,10,3,8,
9,11514,AT,60,,,,,,7,6,8,
9,11533,AT,10,,,,,,8,9,8,
9,11538,AT,60,,,,,,7,7,3,
9,11577,AT,120,,,,,,9,6,8,
9,11596,AT,30,,,,,,5,3,8,
9,11618,AT,30,,,,,,7,7,7,
9,11632,AT,60,,,,,,7,9,9,
9,11692,AT,20,,,,,,8,8,9,
9,11717,AT,10,,,,,,6,3,6,
9,11729,AT,15,,,,,,8,8,9,
9,11756,AT,105,,,,,,6,4,6,
9,11779,AT,120,,,,,,8,7,8,
9,11834,AT,240,,,,,,7,7,5,
9,11875,AT,5,,,,,,9,8,9,
